data_source_id,process_data_month,geography_name,product_name,category_type_name,disease_state_name,brand_name,channel_name,outlet_name,campaign_name,cost,planned_impressions,planned_clicks,planned_ctr,historical_avg_ctr,historical_conversion_rate,budget_utilization,seasonality_index,audience_reach_score,engagement_expectation,roi_category
DS164,2025-02,India,Elagolix,Women's Health,Endometriosis,Orilissa,Display,Instagram,Patient Support,25795.0,181932.0,5640.0,0.031006087391969826,0.08237528002182154,0.03387400631785948,0.7783331011414365,0.8399899663272012,0.7296244459829335,0.030022516668341312,Medium
DS036,2025-02,Canada,Elagolix,Women's Health,Endometriosis,Orilissa,Social Media,LinkedIn,Therapy Promotion,26023.0,91090.0,1934.0,0.021235069657748146,0.09759278817295955,0.043297705632016875,0.6849356442713105,0.8727299868828403,0.5917022549267169,0.028254534577572266,Low
DS009,2025-01,India,Upadacitinib,Immunology,Psoriatic Arthritis,Rinvoq,Search,LinkedIn,Disease Education,16396.0,308795.0,6603.0,0.021383745502484945,0.06198197282067114,0.02599443886861022,0.6186662652854461,1.1895022075365835,0.6163856702151521,0.01543638607196925,Medium
DS007,2025-09,USA,Elagolix,Women's Health,Endometriosis,Orilissa,Email,Instagram,Therapy Promotion,11899.0,369030.0,29151.0,0.07899385314840729,0.05734103145983839,0.04439761626945282,0.8721230154351118,0.9801997007878172,0.5066324805799333,0.06653210534109116,High
DS151,2025-05,France,Adalimumab,Immunology,Rheumatoid Arthritis,Humira,Search,Twitter,Therapy Promotion,18433.0,467113.0,12079.0,0.025860326840383033,0.07473864212097256,0.02760609974958405,0.6488152939379115,0.9980707640445081,0.5171942605576092,0.06455922412472692,High
DS088,2025-05,USA,Upadacitinib,Immunology,Psoriatic Arthritis,Rinvoq,Display,Facebook,Awareness Drive,11585.0,509773.0,26102.0,0.05120408127066865,0.06373682234746238,0.017394178221021083,0.9878338511058234,1.1100531293444458,0.9697494707820946,0.06368964102565894,High
DS098,2025-02,UK,Venetoclax,Oncology,Leukemia,Venclexta,Display,Facebook,Therapy Promotion,42606.0,585822.0,14826.0,0.02530955012311517,0.035678628993531615,0.011809091556421522,0.7301321323053057,0.9554709158757928,0.6356745158869479,0.059724250549115766,Low
DS138,2025-02,Germany,Adalimumab,Immunology,Rheumatoid Arthritis,Humira,Display,Twitter,Disease Education,31243.0,482315.0,25351.0,0.052561764989494913,0.03127393799798101,0.042087879230161586,0.6298202574719083,1.1947547746402067,0.8861223846483287,0.021922940892050345,High
DS093,2025-10,USA,Elagolix,Women's Health,Endometriosis,Orilissa,Social Media,Facebook,Patient Support,15258.0,530754.0,33125.0,0.06241144063085703,,0.04085081386743783,0.6296178606936361,0.943386291417709,0.5579345297625649,0.06178620555253562,High
DS198,2025-05,India,Upadacitinib,Immunology,Psoriatic Arthritis,Rinvoq,Social Media,YouTube,Early Diagnosis,23067.0,425713.0,10951.0,0.025724606989424678,0.049665460175861306,0.03675365010654429,0.8663689426469987,1.0365191150830908,0.6373608964950321,0.043674605550862076,High
DS117,2025-06,USA,Venetoclax,Oncology,Leukemia,Venclexta,Display,Instagram,Early Diagnosis,18110.0,522525.0,37065.0,0.07093482945596503,,0.01943939678995823,0.7024273291045295,0.8161734358153726,0.8553314448428937,0.01665344924870988,High
DS180,2025-02,Brazil,Elagolix,Women's Health,Endometriosis,Orilissa,Search,LinkedIn,Patient Support,58702.0,100015.0,5819.0,0.05818462467582683,0.04514847848610613,0.030342827646588112,0.9630265895704372,0.89971689165955,0.7051914615178149,0.055333068312582924,Low
DS042,2025-08,Germany,Venetoclax,Oncology,Leukemia,Venclexta,Search,Twitter,Early Diagnosis,26198.0,429989.0,31315.0,0.07282807034091546,0.06994832385070346,0.02182534743350856,0.6421977039321082,0.9826138281931641,0.6092202186084168,0.034990596872221974,High
DS197,2025-01,USA,Adalimumab,Immunology,Rheumatoid Arthritis,Humira,Display,YouTube,Early Diagnosis,28047.0,338249.0,9242.0,0.0273252772820404,,0.046273137661830166,0.7088528997538541,1.0590760482165449,0.5002601884976579,0.031154131380050146,Low
DS017,2025-04,Brazil,Elagolix,Women's Health,Endometriosis,Orilissa,Display,Instagram,Therapy Promotion,50294.0,501269.0,25386.0,0.05064483815465394,0.05339288025190232,0.01888431241882921,0.6479461469334731,0.9350460685614512,0.9714548519562596,0.029392175921245316,Medium
DS102,2025-08,USA,Venetoclax,Oncology,Leukemia,Venclexta,Search,Instagram,Disease Education,13304.0,168451.0,7044.0,0.04181777614275764,0.09774256661767686,0.048497891797684455,0.7007129183301457,0.9988994023569542,0.6504391549083848,0.02709042966264806,High
DS138,2025-05,Canada,Cariprazine,Neuroscience,Schizophrenia,Vraylar,Email,LinkedIn,Therapy Promotion,59850.0,275281.0,13808.0,0.05016074139373169,0.02411830009999915,0.021145858569464458,0.9633063543866615,0.895824756266789,0.5724474360456115,0.039367165616653786,Low
DS093,2025-04,USA,Cariprazine,Neuroscience,Schizophrenia,Vraylar,Email,Facebook,Awareness Drive,36309.0,530671.0,29485.0,0.05556180343276361,0.02646826610661722,0.02478617824245618,0.6968639753109703,1.1212559025519584,0.7351503172230192,0.06900538845369059,High
